Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR - Curve,Training Time,Inference Time
pittsburg-bridges-TYPE,XGBoost-imbalance,1,"{'max_depth': 20, 'imbalance_alpha': 2.5, 'focal_gamma': 2.5, 'eta': 0.1}",0.848484848,0.683333333,0.281481481,0.305555556,0.687037037,0.411557239,0.030127439,0.281481481
pittsburg-bridges-TYPE,XGBoost-imbalance,2,"{'max_depth': 20, 'imbalance_alpha': 2.5, 'focal_gamma': 2.5, 'eta': 0.1}",0.878787879,0.6,0.003323555,0.333333333,0.669444444,0.394457672,0.044674584,0.355555556
pittsburg-bridges-TYPE,XGBoost-imbalance,3,"{'max_depth': 20, 'imbalance_alpha': 2.5, 'focal_gamma': 2.5, 'eta': 0.1}",0.833333333,0.75,0.355555556,0.555555556,0.85,0.603805916,0.044916615,0.353703704
pittsburg-bridges-TYPE,XGBoost-imbalance,4,"{'max_depth': 20, 'imbalance_alpha': 2.5, 'focal_gamma': 2.5, 'eta': 0.1}",0.893939394,0.958333333,0.003165523,0.583333333,0.867328042,0.660515873,0.015132355,0.351058201
pittsburg-bridges-TYPE,XGBoost-imbalance,5,"{'max_depth': 20, 'imbalance_alpha': 2.5, 'focal_gamma': 2.5, 'eta': 0.1}",0.803030303,0.708333333,0.353703704,0.472222222,0.670502646,0.484138258,0.030828245,0.345767196
pittsburg-bridges-TYPE,XGBoost-imbalance,6,"{'max_depth': 20, 'imbalance_alpha': 2.5, 'focal_gamma': 2.5, 'eta': 0.1}",0.772727273,0.694444444,0.003166596,0.555555556,0.723412698,0.583025192,0.015002308,0.285119048
pittsburg-bridges-TYPE,XGBoost-imbalance,7,"{'max_depth': 20, 'imbalance_alpha': 2.5, 'focal_gamma': 2.5, 'eta': 0.1}",0.848484848,0.55,0.351058201,0.35,0.689814815,0.376689514,0.059983947,0.346296296
pittsburg-bridges-TYPE,XGBoost-imbalance,8,"{'max_depth': 20, 'imbalance_alpha': 2.5, 'focal_gamma': 2.5, 'eta': 0.1}",0.787878788,0.597222222,0.00300463,0.25,0.521296296,0.350499038,0.060547482,0.535119048
pittsburg-bridges-TYPE,XGBoost-imbalance,9,"{'max_depth': 20, 'imbalance_alpha': 2.5, 'focal_gamma': 2.5, 'eta': 0.1}",0.848484848,0.766666667,0.345767196,0.166666667,0.627777778,0.321940837,0.060471621,0.337037037
pittsburg-bridges-TYPE,XGBoost-imbalance,10,"{'max_depth': 20, 'imbalance_alpha': 2.5, 'focal_gamma': 2.5, 'eta': 0.1}",0.878787879,0.833333333,0.002984722,0.466666667,0.767592593,0.453615771,0.045368166,0.251851852
planning,GentleBoost,1,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.263157895,0.6,0.5,0.142857143,0.485714286,0.225689866,0.262486307,0.5
planning,GentleBoost,2,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.263157895,0.4,0.071804285,0.222222222,0.407142857,0.206705859,0.262549049,0.5
planning,GentleBoost,3,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.263157895,0.6,0.5,0.222222222,0.557142857,0.415694444,0.315239555,0.5
planning,GentleBoost,4,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.263157895,0,0.070811033,0,0.357142857,0.164583333,0.315139168,0.428571429
planning,GentleBoost,5,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.263157895,0.6,0.5,0.25,0.45,0.406176901,0.262486307,0.857142857
planning,GentleBoost,6,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.263157895,0.6,0.0718081,0,0.414285714,0.170940171,0.31497604,0.714285714
planning,GentleBoost,7,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.263157895,0.6,0.428571429,0.3,0.457142857,0.238846872,0.264606978,0.642857143
planning,GentleBoost,8,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.263157895,0.4,0.072800159,0.2,0.407142857,0.199096043,0.314411364,0.642857143
planning,GentleBoost,9,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.263157895,0.2,0.857142857,0.111111111,0.207142857,0.165498994,0.262461211,0.571428571
planning,GentleBoost,10,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.263157895,0.6,0.0747962,0,0.521428571,0.205555556,0.262473759,0.5
planning,Gradient boosting,1,"{'subsample': 0.1, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.2}",0.736842105,0.4,0.357142857,0.375,0.657142857,0.485760971,0.052841086,0.357142857
planning,Gradient boosting,2,"{'subsample': 0.1, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.2}",0.684210526,0.6,0.070800781,0.333333333,0.614285714,0.469901648,0.052527377,0.5
planning,Gradient boosting,3,"{'subsample': 0.1, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.2}",0.684210526,0.4,0.5,0.333333333,0.485714286,0.265341233,0.105569237,0.285714286
planning,Gradient boosting,4,"{'subsample': 0.1, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.2}",0.684210526,0.4,0.069813967,0.25,0.528571429,0.267678571,0.105368464,0.428571429
planning,Gradient boosting,5,"{'subsample': 0.1, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.2}",0.631578947,0.2,0.285714286,0.142857143,0.514285714,0.242530525,0.052866183,0.5
planning,Gradient boosting,6,"{'subsample': 0.1, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.2}",0.684210526,0.2,0.070824862,0.571428571,0.7,0.357380952,0.053292827,0.214285714
planning,Gradient boosting,7,"{'subsample': 0.1, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.2}",0.526315789,0.4,0.428571429,0.222222222,0.457142857,0.223421187,0.104402241,0.5
planning,Gradient boosting,8,"{'subsample': 0.1, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.2}",0.684210526,0.4,0.073804379,0.222222222,0.428571429,0.229706312,0.105192787,0.5
planning,Gradient boosting,9,"{'subsample': 0.1, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.2}",0.684210526,0.4,0.5,0.222222222,0.414285714,0.221611074,0.105155142,0.5
planning,Gradient boosting,10,"{'subsample': 0.1, 'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 10, 'learning_rate': 0.2}",0.578947368,0.6,0.070828915,0.333333333,0.514285714,0.257477406,0.052514829,0.428571429
planning,DEBoost,1,,0.736842105,1,1,1,0.5,0.631578947,2.519594996,1
planning,DEBoost,2,,0.736842105,0.2,0.355010271,0.5,0.564285714,0.455263158,2.46713036,0.071428571
planning,DEBoost,3,,0.736842105,1,0.071428571,1,0.5,0.631578947,2.414602982,1
planning,DEBoost,4,,0.736842105,1,0.485701084,1,0.5,0.631578947,2.729541377,1
planning,DEBoost,5,,0.736842105,1,1,1,0.5,0.631578947,2.782056206,1
planning,DEBoost,6,,0.736842105,1,0.475251675,1,0.5,0.631578947,2.887010574,1
planning,DEBoost,7,,0.736842105,1,1,1,0.5,0.631578947,2.834545939,1
planning,DEBoost,8,,0.684210526,0,0.448794842,0,0.464285714,0.131578947,2.729553925,0.071428571
planning,DEBoost,9,,0.684210526,0,1,0,0.464285714,0.131578947,2.729616667,0.071428571
planning,DEBoost,10,,0.631578947,0,0.436831236,0,0.428571429,0.131578947,2.834583584,0.142857143
planning,XGBoost-imbalance,1,"{'max_depth': 3, 'imbalance_alpha': 2.0, 'focal_gamma': 2.0, 'eta': 0.1}",0.421052632,0.2,0.785714286,0.111111111,0.257142857,0.174117737,0.052477184,0.785714286
planning,XGBoost-imbalance,2,"{'max_depth': 3, 'imbalance_alpha': 2.0, 'focal_gamma': 2.0, 'eta': 0.1}",0.736842105,0.6,0.004986763,0.333333333,0.585714286,0.566257792,0,0.357142857
planning,XGBoost-imbalance,3,"{'max_depth': 3, 'imbalance_alpha': 2.0, 'focal_gamma': 2.0, 'eta': 0.1}",0.631578947,0.2,0.357142857,0,0.114285714,0.155237034,0,0.714285714
planning,XGBoost-imbalance,4,"{'max_depth': 3, 'imbalance_alpha': 2.0, 'focal_gamma': 2.0, 'eta': 0.1}",0.578947368,0.6,0.006994486,0.125,0.392857143,0.32151307,0.052477184,0.714285714
planning,XGBoost-imbalance,5,"{'max_depth': 3, 'imbalance_alpha': 2.0, 'focal_gamma': 2.0, 'eta': 0.1}",0.684210526,0.4,0.714285714,0.222222222,0.342857143,0.360392157,0,0.5
planning,XGBoost-imbalance,6,"{'max_depth': 3, 'imbalance_alpha': 2.0, 'focal_gamma': 2.0, 'eta': 0.1}",0.473684211,0.2,0.00599885,0.333333333,0.385714286,0.207872316,0,0.428571429
planning,XGBoost-imbalance,7,"{'max_depth': 3, 'imbalance_alpha': 2.0, 'focal_gamma': 2.0, 'eta': 0.1}",0.631578947,0.6,0.714285714,0.222222222,0.314285714,0.18685303,0,0.714285714
planning,XGBoost-imbalance,8,"{'max_depth': 3, 'imbalance_alpha': 2.0, 'focal_gamma': 2.0, 'eta': 0.1}",0.578947368,0.6,0.005998135,0.111111111,0.228571429,0.169338325,0.052426991,0.785714286
planning,XGBoost-imbalance,9,"{'max_depth': 3, 'imbalance_alpha': 2.0, 'focal_gamma': 2.0, 'eta': 0.1}",0.789473684,0.6,0.5,0.333333333,0.471428571,0.39710944,0.053355568,0.428571429
planning,XGBoost-imbalance,10,"{'max_depth': 3, 'imbalance_alpha': 2.0, 'focal_gamma': 2.0, 'eta': 0.1}",0.736842105,0.6,0.005954504,0.25,0.528571429,0.407641313,0,0.5
plant-margin,GentleBoost,1,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.5125,0.853658537,0.358974359,0.711340206,0.829971857,0.838617731,0.043697655,0.358974359
plant-margin,GentleBoost,2,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.5125,0.804878049,0.316143751,0.688172043,0.779158849,0.790972012,0.049869716,0.384615385
plant-margin,GentleBoost,3,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.5125,0.865853659,0.384615385,0.764705882,0.809881176,0.817847404,0.043614209,0.384615385
plant-margin,GentleBoost,4,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.5125,0.841463415,0.313208818,0.688172043,0.81097561,0.803139985,0.056101382,0.397435897
plant-margin,GentleBoost,5,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.5125,0.792682927,0.384615385,0.698924731,0.804330832,0.817431251,0.049902499,0.307692308
plant-margin,GentleBoost,6,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.5125,0.792682927,0.313169003,0.75,0.84075985,0.832105042,0.049863756,0.269230769
plant-margin,GentleBoost,7,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.5125,0.780487805,0.397435897,0.738095238,0.812070044,0.817143422,0.043605268,0.307692308
plant-margin,GentleBoost,8,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.5125,0.817073171,0.316102505,0.703296703,0.75750469,0.737100267,0.049866736,0.397435897
plant-margin,GentleBoost,9,"{'random_state': 500, 'n_estimators': 200, 'learning_rate': 1.0}",0.5125,0.756097561,0.307692308,0.747126437,0.813242652,0.805941118,0.049866736,0.282051282
